epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.365,1.5503,2.40829,1.88469,0.1826,0.27961,0.16945,0.0892,1.73643,3.59509,2.21789,0.0700552,0.00332719,0.00332719
2,396.192,1.49561,2.25495,1.85124,0.33054,0.36061,0.30543,0.17004,1.67809,2.35446,2.1459,0.0400551,0.00666036,0.00666036
3,579.084,1.45593,2.19522,1.82068,0.39856,0.43906,0.34617,0.1937,1.71507,2.3743,2.2575,0.0100543,0.00999287,0.00999287
4,760.308,1.37283,2.07287,1.75213,0.25452,0.48376,0.3672,0.22706,1.30328,1.92624,1.71825,0.00999778,0.00999778,0.00999778
5,942.132,1.33171,1.99761,1.7099,0.61017,0.50777,0.5183,0.33663,1.25207,1.98087,1.65378,0.00999605,0.00999605,0.00999605
6,1123.85,1.30112,1.9585,1.68658,0.53489,0.55595,0.54327,0.35296,1.21594,1.81927,1.6393,0.00999383,0.00999383,0.00999383
7,1306.03,1.27437,1.88179,1.66223,0.60954,0.47123,0.54401,0.36058,1.18546,1.60123,1.55481,0.00999112,0.00999112,0.00999112
8,1487.88,1.23703,1.81778,1.61841,0.52321,0.49715,0.46644,0.31999,1.11922,1.67314,1.53379,0.00998792,0.00998792,0.00998792
9,1669.78,1.23181,1.79811,1.62116,0.54473,0.52598,0.55318,0.37909,1.08106,1.7028,1.44528,0.00998422,0.00998422,0.00998422
10,1851.65,1.22932,1.78474,1.62339,0.54753,0.6325,0.58465,0.39745,1.02939,1.55461,1.4293,0.00998003,0.00998003,0.00998003
11,2032.85,1.17856,1.70196,1.58273,0.6248,0.62029,0.61961,0.42724,0.97901,1.51907,1.36993,0.00997535,0.00997535,0.00997535
12,2214.76,1.20403,1.71648,1.59711,0.71385,0.49851,0.59592,0.42523,1.001,1.45701,1.40709,0.00997018,0.00997018,0.00997018
13,2396.67,1.17588,1.68837,1.56959,0.62594,0.62703,0.62205,0.4495,0.97324,1.40454,1.37425,0.00996452,0.00996452,0.00996452
14,2578.55,1.16045,1.65872,1.57001,0.67491,0.55336,0.66297,0.46893,0.96317,1.58523,1.36346,0.00995837,0.00995837,0.00995837
