epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7129,1.73751,2.86999,2.23756,0.14683,0.25194,0.06521,0.02204,2.43648,3.85429,3.41398,0.0701667,0.00331481,0.00331481
2,134.882,1.80321,2.66281,2.31661,0.17281,0.28943,0.16485,0.06321,2.36602,3.62209,3.21351,0.040166,0.00664749,0.00664749
3,200.867,1.74522,2.62059,2.24213,0.53548,0.22177,0.2233,0.11282,2.4839,4.45719,3.41815,0.0101627,0.00997754,0.00997754
4,266.813,1.70215,2.46295,2.18189,0.92132,0.33356,0.44047,0.24944,1.87093,2.4276,2.39236,0.00999112,0.00999112,0.00999112
5,332.066,1.65793,2.40038,2.12532,0.35678,0.52401,0.4763,0.23341,2.04948,2.51674,2.63581,0.00998422,0.00998422,0.00998422
6,396.922,1.58469,2.29767,2.05605,0.32266,0.42626,0.39089,0.22412,2.01574,2.51061,2.57115,0.00997535,0.00997535,0.00997535
7,461.757,1.57552,2.27697,2.0404,0.36818,0.57339,0.47291,0.26535,1.75502,2.04582,2.17027,0.00996452,0.00996452,0.00996452
8,526.902,1.545,2.22474,2.00631,0.52931,0.40223,0.45833,0.29776,1.64879,2.04747,2.05444,0.00995173,0.00995173,0.00995173
9,591.741,1.52536,2.18129,1.9971,0.79496,0.4997,0.57917,0.36897,1.5937,1.91273,2.02855,0.00993698,0.00993698,0.00993698
10,656.854,1.47657,2.10674,1.95575,0.49319,0.56184,0.5248,0.31549,1.57602,1.94038,1.97002,0.00992029,0.00992029,0.00992029
11,721.844,1.4866,2.08661,1.95036,0.53617,0.48809,0.5255,0.34751,1.52987,2.04103,1.91709,0.00990166,0.00990166,0.00990166
12,786.944,1.46858,2.06357,1.92372,0.5987,0.60876,0.63072,0.41988,1.38014,1.802,1.78764,0.00988111,0.00988111,0.00988111
13,852.087,1.41297,2.02766,1.87767,0.58599,0.61046,0.59882,0.40598,1.48239,1.89387,1.85541,0.00985862,0.00985862,0.00985862
14,917.07,1.39601,1.97307,1.86741,0.59608,0.56984,0.61467,0.38311,1.42562,1.78016,1.82218,0.00983423,0.00983423,0.00983423
15,982.092,1.37943,1.98837,1.85597,0.66565,0.52237,0.63554,0.42619,1.38403,1.66997,1.79984,0.00980794,0.00980794,0.00980794
16,1047.1,1.39781,1.9711,1.8638,0.71569,0.58231,0.65894,0.43744,1.38428,1.69202,1.79354,0.00977975,0.00977975,0.00977975
17,1112.24,1.38613,1.93199,1.83871,0.62882,0.64383,0.63599,0.42452,1.35427,1.73326,1.76474,0.00974969,0.00974969,0.00974969
18,1178.59,1.36592,1.95793,1.84338,0.51904,0.55986,0.539,0.36644,1.3615,1.87027,1.76461,0.00971777,0.00971777,0.00971777
19,1244.53,1.35295,1.90458,1.81833,0.68555,0.61809,0.65283,0.434,1.37191,1.66549,1.78166,0.00968399,0.00968399,0.00968399
20,1310.42,1.36102,1.87673,1.82947,0.60592,0.57441,0.5928,0.37757,1.42158,1.77109,1.84758,0.00964838,0.00964838,0.00964838
21,1376.36,1.35162,1.85622,1.80964,0.77689,0.5934,0.68552,0.45737,1.33963,1.56447,1.71595,0.00961095,0.00961095,0.00961095
22,1442.09,1.33365,1.8671,1.80612,0.70052,0.66076,0.68454,0.45967,1.36528,1.61543,1.72155,0.00957172,0.00957172,0.00957172
23,1507.8,1.31818,1.80268,1.79344,0.65588,0.69001,0.68445,0.46377,1.32292,1.55565,1.67442,0.0095307,0.0095307,0.0095307
24,1572.7,1.32364,1.79224,1.78487,0.74909,0.65691,0.69853,0.48278,1.25108,1.47054,1.61065,0.00948792,0.00948792,0.00948792
25,1637.65,1.30934,1.78146,1.77212,0.72047,0.63424,0.68901,0.45648,1.37073,1.67864,1.76311,0.00944338,0.00944338,0.00944338
26,1702.51,1.31313,1.74936,1.77275,0.65487,0.5872,0.6577,0.43361,1.37629,1.61256,1.75378,0.00939711,0.00939711,0.00939711
27,1767.41,1.29501,1.73563,1.76229,0.70387,0.61273,0.6884,0.45613,1.3578,1.5681,1.72182,0.00934914,0.00934914,0.00934914
28,1832.31,1.26765,1.68934,1.73094,0.64916,0.61366,0.68398,0.47567,1.2467,1.5777,1.63376,0.00929948,0.00929948,0.00929948
29,1897.18,1.27135,1.66591,1.7444,0.73174,0.59061,0.68148,0.4536,1.36298,1.6019,1.73111,0.00924815,0.00924815,0.00924815
30,1962.19,1.26604,1.64518,1.72847,0.66781,0.69176,0.6914,0.44949,1.3575,1.51052,1.71776,0.00919517,0.00919517,0.00919517
31,2027.13,1.25671,1.61894,1.71144,0.71688,0.69209,0.69144,0.4775,1.26697,1.5133,1.63395,0.00914058,0.00914058,0.00914058
32,2092.1,1.26943,1.67871,1.73057,0.64153,0.65486,0.66907,0.47086,1.30099,1.44083,1.6823,0.00908438,0.00908438,0.00908438
33,2157.09,1.22428,1.5944,1.70868,0.80721,0.65181,0.71721,0.48404,1.22748,1.4414,1.5959,0.00902662,0.00902662,0.00902662
34,2222.13,1.23798,1.59163,1.69908,0.77424,0.67368,0.74592,0.52417,1.21618,1.36804,1.58535,0.00896731,0.00896731,0.00896731
35,2287.14,1.24514,1.59041,1.70104,0.69418,0.66035,0.68616,0.50839,1.14901,1.44102,1.55534,0.00890648,0.00890648,0.00890648
36,2352.23,1.19419,1.51753,1.67825,0.78553,0.71353,0.75203,0.53647,1.16134,1.26875,1.52124,0.00884415,0.00884415,0.00884415
37,2417.2,1.20394,1.52554,1.66693,0.7547,0.65214,0.7061,0.4828,1.22902,1.41438,1.61206,0.00878036,0.00878036,0.00878036
38,2482.67,1.18422,1.48042,1.65335,0.76048,0.70591,0.73548,0.53485,1.15225,1.33962,1.52679,0.00871513,0.00871513,0.00871513
39,2547.59,1.19581,1.5181,1.65935,0.73388,0.71394,0.74018,0.52859,1.15185,1.35083,1.52201,0.00864849,0.00864849,0.00864849
40,2612.44,1.20121,1.49408,1.66845,0.81922,0.69759,0.75841,0.53131,1.13227,1.24729,1.51382,0.00858046,0.00858046,0.00858046
41,2677.42,1.18425,1.46372,1.65534,0.75818,0.71539,0.74599,0.53855,1.17825,1.30804,1.56664,0.00851109,0.00851109,0.00851109
42,2742.41,1.18954,1.4701,1.64845,0.80496,0.73999,0.78677,0.54195,1.16628,1.13087,1.51406,0.00844039,0.00844039,0.00844039
43,2807.43,1.20143,1.46306,1.65647,0.7938,0.67733,0.74585,0.54108,1.16917,1.31787,1.54331,0.00836841,0.00836841,0.00836841
