epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.887,1.15965,2.39184,1.53771,0.64719,0.59964,0.65612,0.46426,0.97029,1.8039,1.30608,0.0700552,0.00332719,0.00332719
2,376.925,1.1365,1.8312,1.52028,0.67246,0.6673,0.68759,0.47106,0.96022,1.58239,1.32547,0.0400551,0.00666036,0.00666036
3,560.372,1.22164,1.8128,1.58408,0.63517,0.59116,0.65114,0.42078,1.13344,1.49196,1.52616,0.0100543,0.00999287,0.00999287
4,743.604,1.23652,1.81267,1.62326,0.66161,0.56324,0.62858,0.4124,1.10668,1.50057,1.48154,0.00999778,0.00999778,0.00999778
5,927.169,1.21859,1.73741,1.60269,0.66678,0.5847,0.61671,0.42678,1.04997,1.65098,1.45023,0.00999605,0.00999605,0.00999605
6,1110.73,1.20049,1.6777,1.58043,0.70793,0.70188,0.71841,0.48677,1.0427,1.39663,1.43111,0.00999383,0.00999383,0.00999383
7,1294.27,1.15235,1.57986,1.54802,0.71452,0.6579,0.70021,0.48715,0.96744,1.37069,1.36648,0.00999112,0.00999112,0.00999112
8,1479.35,1.13289,1.52626,1.52188,0.62456,0.64176,0.63636,0.45345,1.01154,1.43553,1.37762,0.00998792,0.00998792,0.00998792
9,1663.1,1.13425,1.49799,1.53135,0.76716,0.66565,0.72762,0.51249,0.92102,1.15853,1.31362,0.00998422,0.00998422,0.00998422
10,1846.93,1.12418,1.46554,1.51916,0.79546,0.72079,0.79501,0.55751,0.86594,1.01876,1.27061,0.00998003,0.00998003,0.00998003
11,2030.49,1.07913,1.39869,1.48898,0.78157,0.6812,0.73188,0.55002,0.87038,1.31464,1.27296,0.00997535,0.00997535,0.00997535
12,2214.37,1.09298,1.41073,1.49522,0.75339,0.72341,0.76661,0.55443,0.89104,1.04776,1.28088,0.00997018,0.00997018,0.00997018
13,2398.24,1.06822,1.36427,1.47546,0.82626,0.59934,0.71249,0.51527,0.92246,1.34412,1.32386,0.00996452,0.00996452,0.00996452
14,2581.92,1.06105,1.3316,1.47854,0.75262,0.7064,0.74053,0.54296,0.85963,1.19989,1.25095,0.00995837,0.00995837,0.00995837
15,2765.53,1.05117,1.32881,1.46887,0.8002,0.65398,0.69058,0.51924,0.87986,1.59899,1.25844,0.00995173,0.00995173,0.00995173
16,2949.08,1.04072,1.30266,1.45645,0.7747,0.75115,0.79017,0.5794,0.85779,1.06323,1.2533,0.0099446,0.0099446,0.0099446
17,3132.5,1.04141,1.30155,1.45561,0.81796,0.7257,0.76659,0.57301,0.82984,1.03415,1.24179,0.00993698,0.00993698,0.00993698
18,3315.89,1.02751,1.26382,1.44676,0.88992,0.74617,0.83475,0.63044,0.81811,0.84787,1.20864,0.00992888,0.00992888,0.00992888
19,3499.41,1.01966,1.24367,1.43801,0.83924,0.78138,0.82618,0.61937,0.80136,0.85609,1.18589,0.00992029,0.00992029,0.00992029
20,3682.91,1.01425,1.22556,1.42928,0.80099,0.74803,0.81108,0.60377,0.81191,0.92153,1.21947,0.00991122,0.00991122,0.00991122
21,3866.53,1.0064,1.22469,1.42915,0.84367,0.73723,0.80822,0.62259,0.79222,0.97302,1.19351,0.00990166,0.00990166,0.00990166
22,4050.21,0.99711,1.19367,1.42106,0.82207,0.76383,0.79384,0.59089,0.79682,0.91718,1.21142,0.00989163,0.00989163,0.00989163
23,4234.08,0.98897,1.18346,1.41079,0.80455,0.76106,0.81143,0.61076,0.80556,0.94738,1.19493,0.00988111,0.00988111,0.00988111
24,4417.55,0.99651,1.18625,1.42242,0.83462,0.77385,0.84229,0.63313,0.781,0.92586,1.19851,0.0098701,0.0098701,0.0098701
25,4601.15,0.97696,1.1653,1.41045,0.82972,0.77092,0.84423,0.64443,0.76688,0.89096,1.17209,0.00985862,0.00985862,0.00985862
26,4784.79,0.9788,1.14473,1.40513,0.8639,0.7462,0.84374,0.62995,0.79513,0.83753,1.18925,0.00984667,0.00984667,0.00984667
27,4968.35,0.97376,1.13974,1.39861,0.87269,0.78469,0.84886,0.64224,0.78685,0.91945,1.17918,0.00983423,0.00983423,0.00983423
28,5159.83,0.9821,1.1518,1.40376,0.86757,0.74833,0.8194,0.6225,0.76682,0.91307,1.15343,0.00982132,0.00982132,0.00982132
29,5343.3,0.9606,1.11294,1.38587,0.8355,0.78427,0.85299,0.65625,0.76753,0.79579,1.1749,0.00980794,0.00980794,0.00980794
30,5526.63,0.95483,1.09256,1.38509,0.90995,0.73871,0.84302,0.64992,0.75455,0.80217,1.1619,0.00979408,0.00979408,0.00979408
31,5709.95,0.9456,1.08785,1.37587,0.8629,0.76623,0.84141,0.64112,0.7664,0.8144,1.16706,0.00977975,0.00977975,0.00977975
32,5893.39,0.94581,1.07762,1.3769,0.84523,0.80213,0.85137,0.64649,0.78488,0.85202,1.17212,0.00976496,0.00976496,0.00976496
33,6076.84,0.9545,1.08032,1.38881,0.85355,0.82468,0.87694,0.66553,0.78056,0.74623,1.17386,0.00974969,0.00974969,0.00974969
34,6260.34,0.94165,1.0802,1.37988,0.87032,0.76145,0.83969,0.63979,0.7691,0.81499,1.16743,0.00973396,0.00973396,0.00973396
35,6443.67,0.93456,1.04837,1.37183,0.83619,0.77349,0.83895,0.64859,0.75609,0.81138,1.16698,0.00971777,0.00971777,0.00971777
36,6627.1,0.93515,1.04919,1.36818,0.89807,0.81647,0.8851,0.67669,0.74575,0.71515,1.14138,0.00970111,0.00970111,0.00970111
37,6810.63,0.94776,1.04659,1.37368,0.81884,0.74758,0.82426,0.63299,0.77295,0.90291,1.1894,0.00968399,0.00968399,0.00968399
38,6993.83,0.93584,1.03478,1.37011,0.88277,0.74248,0.84822,0.65905,0.73805,0.81495,1.13667,0.00966642,0.00966642,0.00966642
39,7177.07,0.93704,1.04371,1.37077,0.86274,0.76983,0.84828,0.654,0.76287,0.86055,1.16355,0.00964838,0.00964838,0.00964838
40,7360.32,0.92453,1.03446,1.35906,0.89214,0.71483,0.82509,0.63679,0.78425,0.88007,1.19619,0.0096299,0.0096299,0.0096299
41,7543.89,0.92517,1.02791,1.36235,0.94352,0.74212,0.85105,0.65869,0.76058,0.80487,1.172,0.00961095,0.00961095,0.00961095
42,7727.35,0.93061,1.01059,1.35703,0.88399,0.74746,0.83541,0.65531,0.74955,0.86063,1.1559,0.00959156,0.00959156,0.00959156
43,7910.64,0.90843,1.0048,1.34894,0.8531,0.77441,0.8398,0.6671,0.73123,0.78539,1.13458,0.00957172,0.00957172,0.00957172
44,8093.8,0.90542,1.00752,1.35211,0.86274,0.77315,0.83528,0.65456,0.74805,0.81661,1.16698,0.00955143,0.00955143,0.00955143
45,8277.09,0.91748,0.98342,1.34659,0.8506,0.78664,0.85479,0.66798,0.73388,0.78527,1.14594,0.0095307,0.0095307,0.0095307
46,8460.38,0.90028,0.99092,1.3426,0.86882,0.80725,0.87977,0.67789,0.74696,0.68497,1.14028,0.00950953,0.00950953,0.00950953
47,8643.75,0.91262,1.0022,1.35243,0.86337,0.79438,0.87159,0.66961,0.73957,0.72082,1.14598,0.00948792,0.00948792,0.00948792
48,8826.6,0.90568,0.98602,1.34504,0.88688,0.78228,0.86316,0.67354,0.72649,0.76652,1.12727,0.00946587,0.00946587,0.00946587
49,9009.78,0.90512,0.97065,1.342,0.88451,0.79034,0.86686,0.67283,0.74763,0.75177,1.1541,0.00944338,0.00944338,0.00944338
50,9192.72,0.90031,0.9611,1.34603,0.89055,0.81693,0.88556,0.6822,0.73384,0.69721,1.14245,0.00942046,0.00942046,0.00942046
51,9376.14,0.88978,0.95956,1.33022,0.8694,0.79652,0.86478,0.67248,0.72913,0.72211,1.14392,0.00939711,0.00939711,0.00939711
52,9559.71,0.88737,0.94609,1.33358,0.88216,0.77536,0.85762,0.66797,0.76028,0.79988,1.16918,0.00937334,0.00937334,0.00937334
53,9743.21,0.90244,0.9703,1.34132,0.85917,0.81007,0.86994,0.67376,0.72524,0.72312,1.13436,0.00934914,0.00934914,0.00934914
54,9926.47,0.8935,0.96168,1.33804,0.84668,0.80918,0.88239,0.69159,0.71206,0.65022,1.12493,0.00932452,0.00932452,0.00932452
55,10109.7,0.88545,0.94661,1.3304,0.86046,0.81389,0.85574,0.67483,0.71425,0.73799,1.12045,0.00929948,0.00929948,0.00929948
56,10293.1,0.88035,0.94143,1.32557,0.8503,0.80499,0.86843,0.68759,0.7305,0.68789,1.1404,0.00927402,0.00927402,0.00927402
57,10476.5,0.88739,0.93146,1.326,0.90005,0.82717,0.89321,0.70189,0.7294,0.63514,1.12026,0.00924815,0.00924815,0.00924815
58,10660,0.88839,0.92972,1.32199,0.8461,0.82621,0.88659,0.69134,0.72587,0.67595,1.1187,0.00922186,0.00922186,0.00922186
59,10843,0.86942,0.92062,1.31616,0.85601,0.8137,0.8775,0.68879,0.73739,0.69575,1.13685,0.00919517,0.00919517,0.00919517
60,11026,0.87838,0.92688,1.32057,0.8948,0.79338,0.87536,0.68593,0.72551,0.67161,1.12496,0.00916808,0.00916808,0.00916808
61,11209.2,0.86459,0.91587,1.31475,0.88302,0.79406,0.88003,0.68788,0.72612,0.6841,1.11848,0.00914058,0.00914058,0.00914058
62,11392.1,0.87267,0.91367,1.32358,0.89153,0.81754,0.88218,0.69336,0.71091,0.64273,1.11364,0.00911268,0.00911268,0.00911268
