epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.332,1.25208,2.11585,1.62742,0.58104,0.44939,0.48582,0.33516,1.12717,1.89526,1.5251,0.0670608,0.000332719,0.000332719
2,380.491,1.20872,1.79771,1.60316,0.64721,0.62889,0.64063,0.40103,1.29525,1.50861,1.67288,0.0340591,0.000664411,0.000664411
3,588.651,1.21706,1.7381,1.60415,0.68809,0.66458,0.67962,0.47159,1.08149,1.35887,1.48249,0.00105095,0.000989559,0.000989559
4,776.646,1.15259,1.62638,1.56796,0.79315,0.70206,0.76147,0.54207,0.96295,1.0861,1.33972,0.000977975,0.000977975,0.000977975
5,970.612,1.12924,1.56148,1.54449,0.81832,0.5706,0.6979,0.50924,0.91453,1.34697,1.29815,0.000961095,0.000961095,0.000961095
6,1161.68,1.11396,1.52699,1.52838,0.79132,0.76697,0.80383,0.57979,0.9244,0.98672,1.30506,0.000939711,0.000939711,0.000939711
7,1350.55,1.08073,1.44112,1.50474,0.75282,0.71043,0.77488,0.55714,0.90119,1.08252,1.29362,0.000914058,0.000914058,0.000914058
8,1543.56,1.05274,1.38543,1.47713,0.75732,0.67151,0.72941,0.51659,0.9348,1.13283,1.28728,0.000884415,0.000884415,0.000884415
9,1739.03,1.04926,1.36415,1.47629,0.7972,0.77714,0.8351,0.59466,0.85811,0.90768,1.22684,0.000851109,0.000851109,0.000851109
10,1930.05,1.03689,1.32645,1.46573,0.78418,0.68608,0.78214,0.59614,0.80306,0.99811,1.21035,0.000814503,0.000814503,0.000814503
11,2120.72,0.99532,1.27511,1.43524,0.82737,0.75239,0.81306,0.61628,0.79152,0.91961,1.19061,0.000775,0.000775,0.000775
12,2307.73,1.01501,1.26159,1.44445,0.80448,0.73336,0.77635,0.59754,0.78888,0.97146,1.19944,0.000733031,0.000733031,0.000733031
13,2494.2,0.9856,1.22876,1.42409,0.79077,0.69959,0.76514,0.58284,0.84247,1.1111,1.21568,0.000689058,0.000689058,0.000689058
14,2682.78,0.97788,1.21561,1.42641,0.85147,0.69025,0.80647,0.62069,0.7481,0.95228,1.15619,0.00064356,0.00064356,0.00064356
15,2872.37,0.9626,1.17502,1.41138,0.85387,0.75245,0.81687,0.61926,0.79281,0.95768,1.18355,0.000597038,0.000597038,0.000597038
16,3062.22,0.9493,1.15551,1.40164,0.84546,0.76211,0.82554,0.63329,0.76275,0.8688,1.15588,0.00055,0.00055,0.00055
17,3250.31,0.94316,1.15042,1.39299,0.8593,0.80902,0.85128,0.66053,0.72719,0.77125,1.13387,0.000502962,0.000502962,0.000502962
18,3446.39,0.92849,1.10517,1.38371,0.88728,0.80934,0.86601,0.66834,0.74116,0.72818,1.13538,0.00045644,0.00045644,0.00045644
19,3642.33,0.90444,1.08666,1.3698,0.87063,0.80383,0.87994,0.67689,0.73688,0.69987,1.12674,0.000410942,0.000410942,0.000410942
20,3835.06,0.90147,1.04603,1.35683,0.83531,0.81366,0.85937,0.67085,0.71953,0.73137,1.11553,0.000366969,0.000366969,0.000366969
21,4073.97,0.84603,0.92025,1.37557,0.85433,0.73434,0.83842,0.65938,0.70038,0.80241,1.11181,0.000325,0.000325,0.000325
22,4260.71,0.81621,0.8438,1.34651,0.89342,0.74962,0.85396,0.67044,0.71879,0.72269,1.12111,0.000285497,0.000285497,0.000285497
23,4447.23,0.79576,0.81203,1.32904,0.89147,0.79709,0.88385,0.69728,0.70237,0.65137,1.10545,0.000248891,0.000248891,0.000248891
24,4629.65,0.78352,0.76935,1.3216,0.84467,0.80638,0.85503,0.66994,0.70638,0.6856,1.10527,0.000215585,0.000215585,0.000215585
25,4812.1,0.77619,0.74925,1.3123,0.87529,0.81929,0.87773,0.68594,0.68329,0.64065,1.08764,0.000185942,0.000185942,0.000185942
26,5003.81,0.75556,0.71641,1.28728,0.88239,0.80237,0.8723,0.68727,0.68262,0.64916,1.09184,0.000160289,0.000160289,0.000160289
27,5184.99,0.73821,0.69895,1.27686,0.84393,0.80606,0.8694,0.69398,0.68274,0.69075,1.0829,0.000138905,0.000138905,0.000138905
28,5365.87,0.73482,0.68862,1.27315,0.85574,0.79644,0.86788,0.67421,0.68779,0.67858,1.09649,0.000122025,0.000122025,0.000122025
29,5546.68,0.72929,0.66464,1.27387,0.88078,0.81712,0.87901,0.69834,0.66779,0.64049,1.07959,0.000109834,0.000109834,0.000109834
30,5727.81,0.72032,0.65432,1.2578,0.85208,0.83084,0.88603,0.70035,0.66418,0.63454,1.06962,0.000102465,0.000102465,0.000102465
