epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.117,1.07883,2.3166,1.47309,0.61077,0.52217,0.56662,0.39912,1.01361,1.83877,1.385,0.0700442,0.00332842,0.00332842
2,418.505,1.06878,1.73793,1.46059,0.64709,0.57562,0.63431,0.45643,0.93114,1.67871,1.31778,0.0400438,0.00666135,0.00666135
3,608.627,1.14712,1.71845,1.52145,0.6292,0.44318,0.48748,0.25462,1.57085,2.47708,2.26781,0.0100417,0.00999265,0.00999265
4,799.409,1.18416,1.74536,1.56534,0.38839,0.40398,0.37277,0.18453,1.92784,2.42674,2.63017,0.0099945,0.0099945,0.0099945
5,989.934,1.1642,1.62141,1.54102,0.69428,0.65704,0.67755,0.4595,1.03911,1.42561,1.41202,0.00999023,0.00999023,0.00999023
6,1180.26,1.12086,1.555,1.50762,0.67646,0.69681,0.69432,0.48669,0.96949,1.25561,1.3712,0.00998474,0.00998474,0.00998474
7,1372.32,1.10308,1.49138,1.49207,0.70698,0.64114,0.67399,0.46675,0.98567,1.37728,1.36175,0.00997803,0.00997803,0.00997803
8,1563.35,1.07904,1.45255,1.47786,0.68237,0.66669,0.71251,0.50837,0.97663,1.20131,1.35742,0.00997011,0.00997011,0.00997011
9,1754.28,1.06175,1.4085,1.46898,0.78788,0.70085,0.7678,0.54607,0.92153,1.12431,1.30821,0.00996097,0.00996097,0.00996097
10,1943.89,1.05049,1.36311,1.4597,0.78168,0.66934,0.76181,0.55353,0.89229,1.14867,1.29463,0.00995062,0.00995062,0.00995062
11,2132.08,1.0366,1.3389,1.44161,0.79872,0.72849,0.78256,0.56825,0.87996,1.04488,1.25751,0.00993906,0.00993906,0.00993906
12,2320.41,1.01853,1.27733,1.41409,0.78623,0.75674,0.79688,0.59118,0.82421,0.98198,1.21659,0.00992629,0.00992629,0.00992629
13,2508.39,1.00889,1.25921,1.42148,0.76924,0.7094,0.75076,0.57508,0.81801,1.1175,1.24029,0.00991232,0.00991232,0.00991232
14,2696.46,0.98912,1.24785,1.41008,0.814,0.77009,0.82186,0.60274,0.84256,0.9288,1.2596,0.00989715,0.00989715,0.00989715
15,2884.22,0.9856,1.21655,1.39849,0.80026,0.72586,0.77612,0.5773,0.82847,1.11251,1.24137,0.00988079,0.00988079,0.00988079
16,3072.6,0.98631,1.19539,1.39227,0.81299,0.77025,0.81348,0.60168,0.87157,0.96488,1.27234,0.00986323,0.00986323,0.00986323
17,3260.79,0.97518,1.17372,1.39264,0.80296,0.70388,0.78797,0.58599,0.82834,1.07458,1.24286,0.00984449,0.00984449,0.00984449
